month,region,operator,subscribers,net_adds,churn_rate,avg_price,promo_intensity,marketing_spend,network_speed,coverage_score,satisfaction
2018-01-01,CA,Verizon,10295814,153345,2.567087564446691,71.40658072033813,4.142343799932135,166.74172222780436,123.92579750402459,94.68096699668585,9.604879152777686
2018-01-01,CA,AT&T,5299643,164116,2.6119478751185894,69.24686809574267,3.047340613690797,296.6461771613576,121.34339265502544,96.82554254271841,9.639165448424635
2018-01-01,CA,T-Mobile,9610016,190540,2.0513539538155476,67.84652857315704,9.161701172078052,266.63898234723285,135.6611282678104,88.94065004397879,9.702976780944
2018-01-01,TX,Verizon,5339746,175319,2.6259728877507955,75.19997183552587,4.185626839705211,214.08879488107988,131.88625726430612,95.94638649892005,9.764117021898464
2018-01-01,TX,AT&T,5203089,141670,2.506434377072413,72.16450738707594,4.973349189205668,103.12728134823878,96.33217861113702,93.95208517485395,9.0235610535976
2018-01-01,TX,T-Mobile,5023638,184903,2.409230299496579,68.49430593651357,5.508504625145919,233.76825053272145,147.26516468575363,90.98053567191005,9.989776304507238
2018-01-01,NY,Verizon,4373767,168871,2.7635555944785013,79.48630275865042,4.159218389865249,185.5082036717099,120.87047068238171,91.02486217079822,9.353292251185076
2018-01-01,NY,AT&T,4370695,155919,2.2376077485816834,69.36351573486512,7.002896663049611,274.29211803754356,104.70239796232961,94.93728998106577,9.248531501329914
2018-01-01,NY,T-Mobile,6985108,181575,2.066348513983483,57.03447185730959,6.691035887777533,144.42156209414605,128.38714288333992,90.52373343849551,9.713110142248567
2018-01-01,FL,Verizon,2735620,171053,2.583861632532007,74.7766622527015,5.116467953547974,169.0142496053366,119.15834914818822,90.00248171672257,9.335474811938427
2018-01-01,FL,AT&T,3088407,165719,2.0109640890947675,67.99525990260277,8.80264312938725,296.6846281789686,106.10541975696518,96.86767960185624,9.348186184168963
2018-01-01,FL,T-Mobile,3901376,155093,2.505516028175516,66.81644939254302,4.559404014282373,288.1046528979208,105.30301134932402,87.48725582471066,9.06251340780237
2018-01-01,IL,Verizon,14765769,173039,2.3538413910287015,73.12315111430121,6.755539183946183,152.1658349660818,130.00485607762104,93.3067712862704,9.668068748997522
2018-01-01,IL,AT&T,10688252,137843,2.7794577848928808,71.95914493314928,2.300394125671537,288.02668849155566,108.57009065292473,92.96857012029511,9.240867467335855
2018-01-01,IL,T-Mobile,12867678,139035,2.7032844812050847,66.25435556586676,2.2269439084287233,201.762815367752,133.15890907152317,89.91082392693782,9.697959343579932
2018-01-01,WA,Verizon,12413612,188501,1.9926140805859243,72.45792741566207,10.0,253.7108028612618,119.68813201833156,95.65444677273173,9.538816769391962
2018-01-01,WA,AT&T,10573160,129514,2.491043657791505,70.1518894327455,5.049485303199049,138.1822062300692,92.50930565828386,90.70456005435,8.869804020468722
2018-01-01,WA,T-Mobile,13367048,187833,2.586940847797578,70.33677303165788,4.666113250086974,151.2413887188916,131.95346472546973,85.3183287826882,9.495251427673463
2018-01-01,MA,Verizon,1676346,161363,2.908851668236919,81.94397570002053,2.7745682576206967,106.10004998780988,111.06879726370776,95.25710200014217,9.259649248278215
2018-01-01,MA,AT&T,1755346,130378,2.3872056758844327,63.924572240027175,4.676427070463224,187.7942841411272,102.28180922243244,92.36430618697884,9.177319647657741
2018-01-01,MA,T-Mobile,1467929,168495,2.248814069407361,71.3664685910379,8.064930521102294,183.92001248555798,127.62608038793331,87.20222503031675,9.454923672757792
2018-02-01,CA,Verizon,8766917,203291,2.0202441740673702,74.68464448576076,10.0,236.7927538796282,120.8416352100792,97.34487156478448,9.59033240628751
2018-02-01,CA,AT&T,10762653,167284,2.306439409836251,71.40117151818666,6.893780289548135,230.2969543715576,101.31915774595512,93.22059915726685,9.108989414455241
2018-02-01,CA,T-Mobile,11058439,177486,2.381077195573008,68.8457611409426,5.943157084801866,238.57807173838788,128.1610826227198,90.15223187656579,9.579330997341945
2018-02-01,TX,Verizon,8573296,183119,2.0940820470147252,69.63698516420466,8.32387463549355,286.15146512071294,117.82318796772779,96.62701927200128,9.558904485872548
2018-02-01,TX,AT&T,6734251,175093,1.9554407904154343,69.18687861313437,9.824635279679942,189.68910439566395,99.93982618500299,94.58332538792587,9.144427499206492
2018-02-01,TX,T-Mobile,6620432,201090,1.8132020154240822,58.729946754109164,9.540863033133437,277.54083655165994,134.12931454275625,90.73106163447574,9.817218672348305
2018-02-01,NY,Verizon,3073263,139311,2.7499417964766395,73.47917047388661,3.1038313170053518,262.5599134515005,105.92536225623445,90.92584813005573,9.111490984287496
2018-02-01,NY,AT&T,3187176,172411,2.0124253074959673,67.51830716934303,9.065477826005155,292.43450969490834,101.5586308648226,93.13930532903775,9.150168705474155
2018-02-01,NY,T-Mobile,2831973,188655,1.9622879683127357,67.87781247825562,10.0,216.86286238462003,139.76309126481104,89.52682812523769,9.802288544270795
2018-02-01,FL,Verizon,6227092,149593,2.720536177646106,72.6052943459054,2.6797651588873332,106.46319022193009,113.54677790802513,96.35931933832684,9.435662194851254
2018-02-01,FL,AT&T,9024086,153836,2.4540273480714427,70.4261502757527,5.3805137930347895,255.5204567470451,113.4061525128836,91.64442781401323,9.31319438192054
2018-02-01,FL,T-Mobile,6942996,162926,2.3727619469713277,69.91657995912186,6.450470705611207,282.63315045152854,123.55724819832052,88.05225816499888,9.413546909325158
2018-02-01,IL,Verizon,7068468,172099,2.5358179704051884,72.19126491516613,4.344213842168574,234.3146391185599,116.96135564569073,97.35859436812765,9.538072294805982
2018-02-01,IL,AT&T,5260117,166894,2.1836774367171317,69.19271668621315,7.755650336960227,142.59283230178215,92.41260513576886,92.46118633111088,8.930160525786572
2018-02-01,IL,T-Mobile,4052269,180533,2.3619197701659687,65.99210167119179,5.970563482730126,151.64887765979168,129.67305251905907,86.08659149848545,9.516137778623827
2018-02-01,WA,Verizon,5827782,153229,2.731635981532535,82.02592560753898,4.3740889037626935,136.0134544698597,112.47553299673132,97.1473640241975,9.343672324585162
2018-02-01,WA,AT&T,5012788,184313,2.0372654317978505,69.29242057554796,9.365852928745873,171.19829685439723,97.81510358713415,91.19976868385217,8.999370926502769
2018-02-01,WA,T-Mobile,6053432,168848,2.320049266140765,67.39907366775562,6.138011022718067,147.22330662348088,127.47080695893005,91.41311049425406,9.617818717328667
2018-02-01,MA,Verizon,6078177,162833,2.2731875251832605,77.70559031105365,8.379199562569497,117.84086574241124,122.23336158696355,94.3004324780863,9.496624302971323
2018-02-01,MA,AT&T,4138988,167009,2.12538226400855,71.6669207189006,8.78180699237055,212.89170850452825,98.64134502492753,92.97754511324072,9.045484046706765
2018-02-01,MA,T-Mobile,6305987,196534,1.9697190720608564,61.223473875343416,8.377602015304412,117.57752490802878,131.4520406028546,91.69902039155707,9.76777668505037
2018-03-01,CA,Verizon,11892646,139400,2.724476405651136,77.79903642116506,3.9959065527425315,185.08728772328334,103.72457562116837,93.19136674979119,9.092242150705452
2018-03-01,CA,AT&T,14205311,154252,2.4974185565882636,69.55434578497885,4.7960626422072306,236.30054444478586,115.29804177915283,91.40620948905905,9.35260366240504
2018-03-01,CA,T-Mobile,10544305,190043,2.0258853601722926,66.46413223813624,9.160268190150404,268.3657553516544,125.12393775927507,88.73704655753922,9.499948829530316
2018-03-01,TX,Verizon,4427449,161303,2.180087459677466,81.22620239593631,9.54475597395519,279.9334890584346,116.01626609823052,98.99609908457406,9.477946270542468
2018-03-01,TX,AT&T,4317978,154181,2.642058824598255,74.29744575235752,4.238272711023479,238.74352148066768,109.67669749074886,92.00628193465475,9.210747950331045
2018-03-01,TX,T-Mobile,2925518,167635,2.7221647828875306,65.78158696122205,1.5103941845853814,191.40004385633569,155.05689209641972,94.24275378783724,10.0
2018-03-01,NY,Verizon,9418653,149847,2.7702314280847533,76.24030470967111,3.510690593377166,136.31954336028514,121.70594203580863,90.3505606770952,9.382232613932317
2018-03-01,NY,AT&T,9687532,165687,2.2426252790864663,70.32818438381467,6.962018463473426,241.44772686267973,112.50243932573649,96.77365622424847,9.449976629404038
2018-03-01,NY,T-Mobile,6776519,192432,2.154127312262476,65.16717473686609,8.188383036941897,218.25508714898587,140.70996467205254,83.03778787806561,9.653661182414359
2018-03-01,FL,Verizon,5376988,155337,2.406800136756682,76.88442004044201,6.943376210395682,133.10266348559475,104.70235696827191,93.65506430125897,9.134854867998786
2018-03-01,FL,AT&T,6768514,131247,2.3597398966988345,70.52786997166373,6.297780455304447,159.9191823532954,93.88038820349915,92.10394572039954,8.935447435965333
2018-03-01,FL,T-Mobile,6461450,146120,2.312125289370922,67.10282678433823,6.469628173591133,206.8911782514494,94.31794700640117,88.29684289567292,8.864235959154827
2018-03-01,IL,Verizon,7405149,157072,2.536492432664191,77.49967163286223,5.860820354173979,131.23051947323808,129.3567839314746,92.74189645756555,9.594395856027836
2018-03-01,IL,AT&T,9573826,137834,2.378092362242679,72.44159172437081,6.469304010310172,179.43670592369097,99.18936672400102,92.38090712137202,9.030798630877474
